identical,similar,new,deleted,simiScore
activity,cn.wps.moffice.presentation.multiactivity.Presentation14,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation15,1,1,0
activity,cn.wps.moffice.main.taskcenter.impl.TaskCenterActivity,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation16,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation17,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation18,1,1,0
activity,cn.wps.moffice.main.fanyi.impl.FanyiHistoryActivity,1,1,0
activity,cn.wps.moffice.common.scanqrcode.ScanQrCodeActivity,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation19,1,1,0
activity,cn.wps.moffice.writer2c.table.fillform.TableInfoActivity,1,1,0
activity,cn.wps.moffice.pdf.PDFReader,1,1,0
activity,cn.wps.moffice.main.SearchQuickAction,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader19,1,1,0
activity,cn.wps.moffice.documentmanager.DexOptWaitingActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader18,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader17,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader16,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader15,1,1,0
activity,cn.wps.moffice.common.linkShare.LinkTipsActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader14,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader13,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader12,1,1,0
activity,cn.wps.moffice.docer.picstore.ext.PicStoreActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader11,1,1,0
activity,cn.wps.moffice.main.push.explore.FillSignWebViewActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader10,1,1,0
activity,cn.wps.moffice.main.cad.CadPreStartHostActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.ImageRecognizeActivity,1,1,0
activity,cn.wps.moffice.main.membershipshell.MemberShipWebViewShellPortraitActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.PadShortCutGuideActivity,1,1,0
activity,cn.wps.moffice.main.local.filebrowser.search.home.SearchActivity,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet1,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet2,1,1,0
activity,cn.wps.moffice.main.local.appsetting.settingdetail.PermissionSettingActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.account.setting.AccountInfoSettingShellActivity,1,1,0
activity,cn.wps.moffice.main.local.filebrowser.search.home.ShortcutSearchActivity,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet3,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet4,1,1,0
activity,cn.wps.moffice.main.cloud.drive.view.controler.group.home.web.HomeGroupListWebActivity,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet5,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet6,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet7,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet8,1,1,0
activity,cn.wps.moffice.spreadsheet.multiactivity.Spreadsheet9,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader20,1,1,0
activity,cn.wps.moffice.main.ad.AdLoadingDialogActivity,1,1,0
activity,cn.wps.moffice.common.document_fix.shell.DocumentFixActivity,1,1,0
activity,cn.wps.moffice.common.download.extlibs.task.NetConfirmDialogActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.authpc.UpdateRemindActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.sharefolder.member.ShareFolderMemberActivity,1,1,0
activity,cn.wps.moffice.transfer.helper.ui.activity.TransferRecordActivity,1,1,0
activity,cn.wps.moffice.pay.view.checkorder.CheckVipInfoActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.core.ext.cn.cmcc.BindCmccPhoneAfterLoginActivity,1,1,0
activity,cn.wps.moffice.common.print.PrintQrCodeActivity,1,1,0
activity,cn.wps.moffice.common.offline.list.OfflineFileActivity,1,1,0
activity,cn.wps.moffice.main.cloud.storage.core.service.internal.weiyun.t3rdopen.OpenWeiyunFileActivity,1,1,0
activity,cn.wps.moffice.main.local.filebrowser.search.feedback.FeedBackLocalActivity,1,1,0
activity,com.mopub.common.privacy.ConsentDialogActivity,1,1,0
activity,cn.wps.moffice.main.file.compress.CompressFileActivity,1,1,0
activity,cn.wps.moffice.main.router.RouterActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.open.WpsDriveActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.HDGuideActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.sharefolder.sharelist.ShareFolderListActivity,1,1,0
activity,cn.wps.moffice.main.membershipshell.MemberTaskShellActivity,1,1,0
activity,cn.wps.widget.newdocument.NewDocumentConfigActivity,1,1,0
activity,cn.wps.moffice.main.local.appsetting.assistant.WPSAssistantActivity,1,1,0
activity,cn.wps.moffice.common.permission.AppSettingsDialogHolderActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.PreCertificateActivity,1,1,0
activity,cn.wps.moffice.main.share.SharePushTipsWebActivity,1,1,0
activity,cn.wps.moffice.main.cloud.storage.CloudStorageActivity,1,1,0
activity,cn.wps.moffice.main.recovery.EnterRecoveryWpsDriveActivity,1,1,0
activity,cn.wps.moffice.docer.picstore.ext.PicStoreIconPreviewActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.weboffice.WebOfficeActivity,1,1,0
activity,cn.wps.moffice.main.pdfentry.PDFEnterActivity,1,1,0
activity,cn.wps.moffice.common.download.DownloadAppActivity,1,1,0
activity,cn.wps.moffice.common.MoPubBrowserShell,1,1,0
activity,cn.wps.moffice.main.membershipshell.MyPursingShellActivity,1,1,0
activity,cn.wps.moffice.main.pdfhome.PDFHomeActivity,1,1,0
activity,cn.wps.moffice.main.membershipshell.MemberShipWebViewShellActivity,1,1,0
activity,cn.wps.moffice.main.local.home.phone.application.apps.pdftoolkit.PDFToolkitIntroduce2Activity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.view.controler.group.home.web.GroupOperationActivity,1,1,0
activity,cn.wps.moffice.common.scanqrcode.BaseWebViewActivity,1,1,0
activity,cn.wps.moffice.presentation.control.insert.pic.InsertPictureBgActivity,1,1,0
activity,cn.wps.moffice.main.shortcut.fastaccess.FastAccessActivity,1,1,0
activity,cn.wps.moffice.main.classroom.assignment.HomeworkShareLinkActivity,1,1,0
activity,cn.wps.moffice.common.overseapay.PayResultActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.web.phone.PhoneWebQingLoginActivity,1,1,0
